"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
83456;2546;2;"ФГБУ Северо-Кавказское УГМС";"ЧЕРНИГОВСКОЕ - р. Пшеха";44.25;39.76666667;641
83481;2624;1;"ФГБУ Северо-Кавказское УГМС";"ШАПСУГСКАЯ - р. Абин";44.77;38.1;203
83801;2525;1;"ФГБУ Северо-Кавказское УГМС";"ТИХОВСКИЙ - р. Кубань";45.18333333;38.21666667;0
83809;2455;1;"ФГБУ Северо-Кавказское УГМС";"ЗАЙЦЕВО КОЛЕНО - р. Кубань";45.2;37.42;0
83813;2523;1;"ФГБУ Северо-Кавказское УГМС";"ТЕМРЮК - р. Кубань, рук. Петрушин";45.28;37.37;0
83829;2514;1;"ФГБУ Северо-Кавказское УГМС";"СЛОБОДКА - р. Кубань, рук. Протока";45.672242;37.816897;0
83833;2453;1;"ФГБУ Северо-Кавказское УГМС";"ДУБОВЫЙ РЫНОК - р. Кубань, рук. Казачий Ерик";45.23;37.28;0
83840;2513;1;"ФГБУ Северо-Кавказское УГМС";"СЛАДКОВСКИЙ - гирло Сладковское";45.68333333;37.65;0
83841;2501;1;"ФГБУ Северо-Кавказское УГМС";"ПЕРЕКОПКА - р. Кубань, гирло Куликовское";45.36;37.51;0
84008;2511;1;"ФГБУ Северо-Кавказское УГМС";"СЕРГИЕВКА - р. Калаус";44.95000278;42.71666667;4540
84011;2439;1;"ФГБУ Северо-Кавказское УГМС";"ВОЗДВИЖЕНСКОЕ - р. Калаус";45.81;43.66;9100
84019;2517;1;"ФГБУ Северо-Кавказское УГМС";"СТАРОМАРЬЕВКА - р. Ула";45.08;42.21;273
84026;2423;1;"ФГБУ Северо-Кавказское УГМС";"БЕКЕШЕВСКАЯ - р. Кума";44.11;42.45;434
84029;2410;1;"ФГБУ Северо-Кавказское УГМС";"АЛЕКСАНДРИЙСКАЯ - р. Кума";44.21;43.36;3630
84031;2494;1;"ФГБУ Северо-Кавказское УГМС";"НОВОЗАВЕДЕННОЕ - р. Кума";44.25;43.63333333;6350
84037;2432;1;"ФГБУ Северо-Кавказское УГМС";"БУДЕННОВСК - р. Кума";44.73;44.16;15000
84039;2436;1;"ФГБУ Северо-Кавказское УГМС";"ВЛАДИМИРОВКА - р. Кума";44.75;44.78;20000
84042;2544;2;"ФГБУ Северо-Кавказское УГМС";"ПЕРВОМАЙСКОЕ - р. Подкумок";43.93;42.47;276
84043;2468;1;"ФГБУ Северо-Кавказское УГМС";"КИСЛОВОДСК - р. Подкумок";43.93333333;42.73333333;1010
84064;2483;1;"ФГБУ Северо-Кавказское УГМС";"МИХАЙЛОВСКИЙ - р. Золка";44.2;43.7;717
84078;2495;1;"ФГБУ Северо-Кавказское УГМС";"НОВОСЕЛИЦКОЕ - р. Томузловка";44.76;43.43;815
